vector,lang,alpha,subtask,layer,local_ans_steer,local_ans_no_steer,local_ans_w_context
held-out universal (translated),bn,1,cities,22,0.5,0.3,1.0
held-out universal (translated),bn,1,names,21,0.58,0.5,0.74
held-out universal (translated),bn,2,o1,21,0.5303030303030303,0.45454545454545453,0.8484848484848485
held-out universal (translated),fr,-1,cities,21,0.35294117647058826,0.29411764705882354,1.0
held-out universal (translated),fr,2,names,22,0.34,0.24,0.6333333333333333
held-out universal (translated),fr,-2,o1,25,0.2,0.16363636363636364,0.9454545454545454
held-out universal (translated),ru,2,cities,23,0.7619047619047619,0.38095238095238093,1.0
held-out universal (translated),ru,2,names,23,0.54,0.26,0.88
held-out universal (translated),ru,2,o1,23,0.39215686274509803,0.21568627450980393,0.8627450980392157
held-out universal (translated),tr,2,cities,24,0.7,0.5,1.0
held-out universal (translated),tr,2,names,25,0.34,0.1,0.6333333333333333
held-out universal (translated),tr,2,o1,27,0.32727272727272727,0.2545454545454545,0.8909090909090909
held-out universal (translated),us,2,cities,22,0.6578947368421053,0.18421052631578946,1.0
held-out universal (translated),us,1,names,26,0.22,0.18,0.6333333333333333
held-out universal (translated),us,-2,o1,25,0.47058823529411764,0.29411764705882354,0.9117647058823529
none,bn,0,cities,21,0.3,0.3,1.0
none,bn,0,names,21,0.5,0.5,0.74
none,bn,0,o1,21,0.45454545454545453,0.45454545454545453,0.8484848484848485
none,fr,0,cities,21,0.29411764705882354,0.29411764705882354,1.0
none,fr,0,names,21,0.24,0.24,0.6333333333333333
none,fr,0,o1,21,0.16363636363636364,0.16363636363636364,0.9454545454545454
none,ru,0,cities,21,0.38095238095238093,0.38095238095238093,1.0
none,ru,0,names,21,0.26,0.26,0.88
none,ru,0,o1,21,0.21568627450980393,0.21568627450980393,0.8627450980392157
none,tr,0,cities,21,0.5,0.5,1.0
none,tr,0,names,21,0.1,0.1,0.6333333333333333
none,tr,0,o1,21,0.2545454545454545,0.2545454545454545,0.8909090909090909
none,us,0,cities,21,0.18421052631578946,0.18421052631578946,1.0
none,us,0,names,21,0.18,0.18,0.6333333333333333
none,us,0,o1,21,0.29411764705882354,0.29411764705882354,0.9117647058823529
per-culture (translated),bn,2,cities,24,0.95,0.3,1.0
per-culture (translated),bn,1,names,21,0.58,0.5,0.74
per-culture (translated),bn,2,o1,24,0.6666666666666666,0.45454545454545453,0.8484848484848485
per-culture (translated),fr,2,cities,27,0.4117647058823529,0.29411764705882354,1.0
per-culture (translated),fr,1,names,23,0.32,0.24,0.6333333333333333
per-culture (translated),fr,2,o1,25,0.3090909090909091,0.16363636363636364,0.9454545454545454
per-culture (translated),ru,2,cities,27,0.8095238095238095,0.38095238095238093,1.0
per-culture (translated),ru,2,names,23,0.56,0.26,0.88
per-culture (translated),ru,2,o1,25,0.39215686274509803,0.21568627450980393,0.8627450980392157
per-culture (translated),tr,2,cities,24,0.85,0.5,1.0
per-culture (translated),tr,2,names,26,0.48,0.1,0.6333333333333333
per-culture (translated),tr,2,o1,21,0.32727272727272727,0.2545454545454545,0.8909090909090909
per-culture (translated),us,1,cities,23,0.9473684210526315,0.18421052631578946,1.0
per-culture (translated),us,2,names,25,0.34,0.18,0.6333333333333333
per-culture (translated),us,2,o1,23,0.5,0.29411764705882354,0.9117647058823529
